,state,county_and_city,censusIncome,B19013_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
13,Pennsylvania,Cambria County,"                                                    B19013_001E  B23025_002E  \
Cambria County, Pennsylvania: Summary level: 05...        49076        60117   

                                                    B23025_003E  B23025_004E  \
Cambria County, Pennsylvania: Summary level: 05...        59572        57273   

                                                    B23025_005E  B23025_006E  \
Cambria County, Pennsylvania: Summary level: 05...         2299          545   

                                                    B23025_007E  
Cambria County, Pennsylvania: Summary level: 05...        48610  ",49076,60117.0,59572.0,57273.0,2299.0,545.0,48610.0
14,Pennsylvania,Chester County,"                                                    B19013_001E  B23025_002E  \
Chester County, Pennsylvania: Summary level: 05...       102016       287299   

                                                    B23025_003E  B23025_004E  \
Chester County, Pennsylvania: Summary level: 05...       287114       277247   

                                                    B23025_005E  B23025_006E  \
Chester County, Pennsylvania: Summary level: 05...         9867          185   

                                                    B23025_007E  
Chester County, Pennsylvania: Summary level: 05...       134602  ",102016,287299.0,287114.0,277247.0,9867.0,185.0,134602.0
15,Pennsylvania,Berks County,"                                                    B19013_001E  B23025_002E  \
Berks County, Pennsylvania: Summary level: 050,...        67708       221825   

                                                    B23025_003E  B23025_004E  \
Berks County, Pennsylvania: Summary level: 050,...       221195       210794   

                                                    B23025_005E  B23025_006E  \
Berks County, Pennsylvania: Summary level: 050,...        10401          630   

                                                    B23025_007E  
Berks County, Pennsylvania: Summary level: 050,...       116631  ",67708,221825.0,221195.0,210794.0,10401.0,630.0,116631.0
16,Missouri,Clay County,"                                                    B19013_001E  B23025_002E  \
Clay County, Missouri: Summary level: 050, stat...        70253       136780   

                                                    B23025_003E  B23025_004E  \
Clay County, Missouri: Summary level: 050, stat...       136580       131638   

                                                    B23025_005E  B23025_006E  \
Clay County, Missouri: Summary level: 050, stat...         4942          200   

                                                    B23025_007E  
Clay County, Missouri: Summary level: 050, stat...        60495  ",70253,136780.0,136580.0,131638.0,4942.0,200.0,60495.0
17,Missouri,St. Louis County,"                                                    B19013_001E  B23025_002E  \
St. Louis County, Missouri: Summary level: 050,...        70022       521129   

                                                    B23025_003E  B23025_004E  \
St. Louis County, Missouri: Summary level: 050,...       520663       501864   

                                                    B23025_005E  B23025_006E  \
St. Louis County, Missouri: Summary level: 050,...        18799          466   

                                                    B23025_007E  
St. Louis County, Missouri: Summary level: 050,...       280739  ",70022,521129.0,520663.0,501864.0,18799.0,466.0,280739.0
18,Missouri,Boone County,"                                                    B19013_001E  B23025_002E  \
Boone County, Missouri: Summary level: 050, sta...        57013       101793   

                                                    B23025_003E  B23025_004E  \
Boone County, Missouri: Summary level: 050, sta...       101737        97478   

                                                    B23025_005E  B23025_006E  \
Boone County, Missouri: Summary level: 050, sta...         4259           56   

                                                    B23025_007E  
Boone County, Missouri: Summary level: 050, sta...        45954  ",57013,101793.0,101737.0,97478.0,4259.0,56.0,45954.0
19,Missouri,Cole County,"                                                    B19013_001E  B23025_002E  \
Cole County, Missouri: Summary level: 050, stat...        61371        36285   

                                                    B23025_003E  B23025_004E  \
Cole County, Missouri: Summary level: 050, stat...        36075        35310   

                                                    B23025_005E  B23025_006E  \
Cole County, Missouri: Summary level: 050, stat...          765          210   

                                                    B23025_007E  
Cole County, Missouri: Summary level: 050, stat...        25440  ",61371,36285.0,36075.0,35310.0,765.0,210.0,25440.0
20,Missouri,Franklin County,"                                                    B19013_001E  B23025_002E  \
Franklin County, Missouri: Summary level: 050, ...        60953        51593   

                                                    B23025_003E  B23025_004E  \
Franklin County, Missouri: Summary level: 050, ...        51593        49148   

                                                    B23025_005E  B23025_006E  \
Franklin County, Missouri: Summary level: 050, ...         2445            0   

                                                    B23025_007E  
Franklin County, Missouri: Summary level: 050, ...        31626  ",60953,51593.0,51593.0,49148.0,2445.0,0.0,31626.0
21,Missouri,Jackson County,"                                                    B19013_001E  B23025_002E  \
Jackson County, Missouri: Summary level: 050, s...        57936       374090   

                                                    B23025_003E  B23025_004E  \
Jackson County, Missouri: Summary level: 050, s...       373551       360710   

                                                    B23025_005E  B23025_006E  \
Jackson County, Missouri: Summary level: 050, s...        12841          539   

                                                    B23025_007E  
Jackson County, Missouri: Summary level: 050, s...       183101  ",57936,374090.0,373551.0,360710.0,12841.0,539.0,183101.0
22,Missouri,Buchanan County,"                                                    B19013_001E  B23025_002E  \
Buchanan County, Missouri: Summary level: 050, ...        46922        41149   

                                                    B23025_003E  B23025_004E  \
Buchanan County, Missouri: Summary level: 050, ...        41118        39670   

                                                    B23025_005E  B23025_006E  \
Buchanan County, Missouri: Summary level: 050, ...         1448           31   

                                                    B23025_007E  
Buchanan County, Missouri: Summary level: 050, ...        29357  ",46922,41149.0,41118.0,39670.0,1448.0,31.0,29357.0
